uniquedesignation,track_id,X,Y,Z,timefromstart,distanceonline,owningunit,sidc,status911,speed,staffcomment
War Eagles 1 D,{8c7d39cb-5dc7-471d-b485-e9797b5c395b},-121.92,36.588,221.491,0.2,200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Main patrol within Monterey
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.758,36.5859,244.268,0.280866667,400,2-3-A-1,SFGPEVAL-------,0,100,
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.945,36.6061,21.0778,0.27845,300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
3A1-006,{eb26886e-812d-49b5-9711-40047dec0533},-121.804,36.5768,116.551,0.1978,300,2-3-A-1,SFGPEVAL-------,0,100,
3A1-001,{7f5eab90-dfd2-42c9-a0d4-12152173d40d},-121.852,36.5773,107.993,0.2647,300,2-3-A-1,SFGPEVAL-------,1,100,
Wolfpack 3 A,{0a4114b8-bcd5-462e-abd2-c71274d83d6b},-121.904,36.6179,15.6696,0.115366667,200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.759,36.5856,250.918,0.351083333,500,2-3-A-1,SFGPEVAL-------,0,100,
Cougars 1 D,{29d13bec-8a92-43b3-8394-8f12ecf6b091},-121.753,36.5889,243.713,0.19695,300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Defend the roadblock
War Eagles 1 D,{8c7d39cb-5dc7-471d-b485-e9797b5c395b},-121.92,36.5872,217.992,0.3,300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Main patrol within Jalabad
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.944,36.6067,21.9011,0.371266667,400,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
3A1-006,{eb26886e-812d-49b5-9711-40047dec0533},-121.802,36.577,124.185,0.263733333,400,2-3-A-1,SFGPEVAL-------,0,100,
3B1-029,{c2d72efb-9215-4567-8f9f-3f8c55592aeb},-121.953,36.5874,41.138,0.153833333,200,2-3-B-1,SFGPEVAL-------,0,100,
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.76,36.5854,253.798,0.4213,600,2-3-A-1,SFGPEVAL-------,0,100,
3A1-001,{7f5eab90-dfd2-42c9-a0d4-12152173d40d},-121.853,36.5775,107.247,0.352933333,400,2-3-A-1,SFGPEVAL-------,1,100,
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.761,36.5852,252.35,0.491516667,700,2-3-A-1,SFGPEVAL-------,0,100,
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.943,36.6074,22.9245,0.464083333,500,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
3A1-006,{eb26886e-812d-49b5-9711-40047dec0533},-121.801,36.5772,133.54,0.329666667,500,2-3-A-1,SFGPEVAL-------,0,100,
Cougars 1 D,{29d13bec-8a92-43b3-8394-8f12ecf6b091},-121.752,36.5883,252.237,0.2626,400,2nd Stryker Brigade,SFGPEVAL-------,0,100,Defend the roadblock
War Eagles 1 D,{8c7d39cb-5dc7-471d-b485-e9797b5c395b},-121.919,36.5865,216.36,0.4,400,2nd Stryker Brigade,SFGPEVAL-------,0,100,Main patrol within Jalabad
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.76,36.5845,255.863,0.561733333,800,2-3-A-1,SFGPEVAL-------,0,100,
3A1-001,{7f5eab90-dfd2-42c9-a0d4-12152173d40d},-121.854,36.5774,107.111,0.441166667,500,2-3-A-1,SFGPEVAL-------,1,100,
Wolfpack 3 A,{0a4114b8-bcd5-462e-abd2-c71274d83d6b},-121.903,36.6184,7.92547,0.17305,300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.756,36.5882,243.113,0.070216667,100,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
Saber 1 B,{a8244a1f-0397-4453-9fa9-65d39796e469},-121.85,36.5782,95.9661,0.088233333,100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.943,36.6081,23.4014,0.5569,600,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Cougars 1 B,{9305c72f-a88a-4094-be6a-7f8ee4b2e982},-121.945,36.6045,18.8778,0.092816667,100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Establish checkpoint along road
3A1-006,{eb26886e-812d-49b5-9711-40047dec0533},-121.8,36.5774,141.4,0.3956,600,2-3-A-1,SFGPEVAL-------,0,100,
Cougars 1 C,{08847249-3de5-481c-a22a-6e8831b31297},-121.806,36.5764,112.575,0.065933333,100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Conducting vehicle searches
Wolfpack 2 A,{ec413363-2a26-4e9e-bd8f-07de18b24d32},-121.952,36.5881,38.1009,0.076916667,100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
Wolfpack 3 D,{2606c7b3-76c5-438b-a6ef-fc40f151cb64},-121.755,36.5893,234.668,0.06565,100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security
Wolfpack 3 B,{2522bec0-02e9-4d78-97b9-26027df6a849},-121.905,36.6174,21.0044,0.057683333,100,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV - patrolling area south of dam
Wolfpack 2 D,{ede21686-b514-482e-9fb9-e25332cb5b79},-121.921,36.5887,224.695,0.1,100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area secuirty
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.76,36.5838,265.969,0.63195,900,2-3-A-1,SFGPEVAL-------,0,100,
Cougars 1 D,{29d13bec-8a92-43b3-8394-8f12ecf6b091},-121.751,36.5878,253.833,0.32825,500,2nd Stryker Brigade,SFGPEVAL-------,0,100,Defend the roadblock
War Eagles 1 D,{8c7d39cb-5dc7-471d-b485-e9797b5c395b},-121.919,36.5857,212.412,0.5,500,2nd Stryker Brigade,SFGPEVAL-------,0,100,Main patrol within Jalabad
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.757,36.5874,241.872,0.140433333,200,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
3A1-001,{7f5eab90-dfd2-42c9-a0d4-12152173d40d},-121.855,36.5769,112.109,0.5294,600,2-3-A-1,SFGPEVAL-------,1,100,
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.759,36.5831,257.699,0.702166667,1000,2-3-A-1,SFGPEVAL-------,0,100,
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.942,36.6088,24.3491,0.649716667,700,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Cougars 1 B,{9305c72f-a88a-4094-be6a-7f8ee4b2e982},-121.945,36.6054,19.3283,0.185633333,200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Establish checkpoint along road
3A1-006,{eb26886e-812d-49b5-9711-40047dec0533},-121.799,36.5776,147.054,0.461533333,700,2-3-A-1,SFGPEVAL-------,0,100,
Cougars 1 C,{08847249-3de5-481c-a22a-6e8831b31297},-121.805,36.5766,114.003,0.131866667,200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Conducting vehicle searches
Saber 1 B,{a8244a1f-0397-4453-9fa9-65d39796e469},-121.851,36.5775,104.809,0.176466667,200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.757,36.5866,247.622,0.21065,300,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
3B1-029,{c2d72efb-9215-4567-8f9f-3f8c55592aeb},-121.953,36.5865,44.9995,0.23075,300,2-3-B-1,SFGPEVAL-------,0,100,
Wolfpack 3 D,{2606c7b3-76c5-438b-a6ef-fc40f151cb64},-121.754,36.5892,233.231,0.1313,200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security
Wolfpack 2 D,{ede21686-b514-482e-9fb9-e25332cb5b79},-121.92,36.588,221.491,0.2,200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area secuirty
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.758,36.5824,240.671,0.772383333,1100,2-3-A-1,SFGPEVAL-------,0,100,
Cougars 1 D,{29d13bec-8a92-43b3-8394-8f12ecf6b091},-121.75,36.5872,252.575,0.3939,600,2nd Stryker Brigade,SFGPEVAL-------,0,100,Defend the roadblock
War Eagles 1 D,{8c7d39cb-5dc7-471d-b485-e9797b5c395b},-121.919,36.5848,208.159,0.6,600,2nd Stryker Brigade,SFGPEVAL-------,0,100,Main patrol within Jalabad
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.758,36.5859,244.268,0.280866667,400,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
3A1-001,{7f5eab90-dfd2-42c9-a0d4-12152173d40d},-121.856,36.5764,113.624,0.617633333,700,2-3-A-1,SFGPEVAL-------,1,100,
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.941,36.6096,25.0047,0.742533333,800,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Cougars 1 B,{9305c72f-a88a-4094-be6a-7f8ee4b2e982},-121.945,36.6061,21.0778,0.27845,300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Establish checkpoint along road
3A1-006,{eb26886e-812d-49b5-9711-40047dec0533},-121.798,36.5778,155.433,0.527466667,800,2-3-A-1,SFGPEVAL-------,0,100,
Cougars 1 C,{08847249-3de5-481c-a22a-6e8831b31297},-121.804,36.5768,116.551,0.1978,300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Conducting vehicle searches
Wolfpack 3 A,{0a4114b8-bcd5-462e-abd2-c71274d83d6b},-121.904,36.619,7.81386,0.230733333,400,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.758,36.5817,237.843,0.8426,1200,2-3-A-1,SFGPEVAL-------,0,100,
Saber 1 B,{a8244a1f-0397-4453-9fa9-65d39796e469},-121.852,36.5773,107.993,0.2647,300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Wolfpack 3 B,{2522bec0-02e9-4d78-97b9-26027df6a849},-121.904,36.6179,15.6696,0.115366667,200,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV - patrolling area south of dam
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.759,36.5856,250.918,0.351083333,500,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
Wolfpack 3 D,{2606c7b3-76c5-438b-a6ef-fc40f151cb64},-121.753,36.5889,243.713,0.19695,300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.757,36.5811,240.454,0.912816667,1300,2-3-A-1,SFGPEVAL-------,0,100,
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.94,36.6101,26.2717,0.83535,900,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Cougars 1 B,{9305c72f-a88a-4094-be6a-7f8ee4b2e982},-121.944,36.6067,21.9011,0.371266667,400,2nd Stryker Brigade,SFGPEVAL-------,0,100,Establish checkpoint along road
3A1-006,{eb26886e-812d-49b5-9711-40047dec0533},-121.797,36.578,164.892,0.5934,900,2-3-A-1,SFGPEVAL-------,0,100,
Cougars 1 C,{08847249-3de5-481c-a22a-6e8831b31297},-121.802,36.577,124.185,0.263733333,400,2nd Stryker Brigade,SFGPEVAL-------,0,100,Conducting vehicle searches
Cougars 1 D,{29d13bec-8a92-43b3-8394-8f12ecf6b091},-121.749,36.5873,255.713,0.45955,700,2nd Stryker Brigade,SFGPEVAL-------,0,100,Defend the roadblock
War Eagles 1 D,{8c7d39cb-5dc7-471d-b485-e9797b5c395b},-121.919,36.5839,206.323,0.7,700,2nd Stryker Brigade,SFGPEVAL-------,0,100,Main patrol within Jalabad
Wolfpack 2 D,{ede21686-b514-482e-9fb9-e25332cb5b79},-121.92,36.5872,217.992,0.3,300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area secuirty
3A1-001,{7f5eab90-dfd2-42c9-a0d4-12152173d40d},-121.856,36.5756,109.103,0.705866667,800,2-3-A-1,SFGPEVAL-------,1,100,
Wolfpack 2 A,{ec413363-2a26-4e9e-bd8f-07de18b24d32},-121.953,36.5874,41.138,0.153833333,200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.76,36.5854,253.798,0.4213,600,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
Saber 1 B,{a8244a1f-0397-4453-9fa9-65d39796e469},-121.853,36.5775,107.247,0.352933333,400,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.756,36.5805,239.62,0.983033333,1400,2-3-A-1,SFGPEVAL-------,0,100,
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.761,36.5852,252.35,0.491516667,700,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.94,36.6105,27.9171,0.928166667,1000,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Cougars 1 B,{9305c72f-a88a-4094-be6a-7f8ee4b2e982},-121.943,36.6074,22.9245,0.464083333,500,2nd Stryker Brigade,SFGPEVAL-------,0,100,Establish checkpoint along road
3A1-006,{eb26886e-812d-49b5-9711-40047dec0533},-121.796,36.5782,170.643,0.659333333,1000,2-3-A-1,SFGPEVAL-------,0,100,
Cougars 1 C,{08847249-3de5-481c-a22a-6e8831b31297},-121.801,36.5772,133.54,0.329666667,500,2nd Stryker Brigade,SFGPEVAL-------,0,100,Conducting vehicle searches
Wolfpack 3 D,{2606c7b3-76c5-438b-a6ef-fc40f151cb64},-121.752,36.5883,252.237,0.2626,400,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.755,36.582,238.138,1.05325,1500,2-3-A-1,SFGPEVAL-------,0,100,
3A1-001,{7f5eab90-dfd2-42c9-a0d4-12152173d40d},-121.857,36.5748,99.5217,0.7941,900,2-3-A-1,SFGPEVAL-------,1,100,
Cougars 1 D,{29d13bec-8a92-43b3-8394-8f12ecf6b091},-121.748,36.5878,249.709,0.5252,800,2nd Stryker Brigade,SFGPEVAL-------,0,100,Defend the roadblock
Wolfpack 3 A,{0a4114b8-bcd5-462e-abd2-c71274d83d6b},-121.905,36.6196,7.94827,0.288416667,500,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
War Eagles 1 D,{8c7d39cb-5dc7-471d-b485-e9797b5c395b},-121.919,36.5831,206.741,0.8,800,2nd Stryker Brigade,SFGPEVAL-------,0,100,Main patrol within Jalabad
3B1-029,{c2d72efb-9215-4567-8f9f-3f8c55592aeb},-121.954,36.5862,49.0695,0.307666667,400,2-3-B-1,SFGPEVAL-------,0,100,
Wolfpack 2 D,{ede21686-b514-482e-9fb9-e25332cb5b79},-121.919,36.5865,216.36,0.4,400,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area secuirty
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.76,36.5845,255.863,0.561733333,800,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
Saber 1 B,{a8244a1f-0397-4453-9fa9-65d39796e469},-121.854,36.5774,107.111,0.441166667,500,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Wolfpack 3 B,{2522bec0-02e9-4d78-97b9-26027df6a849},-121.903,36.6184,7.92547,0.2,300,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV - patrolling area south of dam
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.755,36.5794,237.443,1.123466667,1600,2-3-A-1,SFGPEVAL-------,0,100,
Wolfpack 1 B,{228b9127-33b5-4d38-a21b-e71d357ae956},-121.756,36.5882,243.113,0.070216667,100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
Wolfpack 1 C,{62455fff-24fb-4b47-8032-4694cd552336},-121.851,36.5775,104.809,0.176466667,200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Lead security opeartion
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.939,36.6108,28.7015,1.020983333,1100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Cougars 1 B,{9305c72f-a88a-4094-be6a-7f8ee4b2e982},-121.943,36.6081,23.4014,0.5569,600,2nd Stryker Brigade,SFGPEVAL-------,0,100,Establish checkpoint along road
War Eagles 1 B,{2111c671-19ce-4ad4-a80d-d362d6baa66d},-121.945,36.6045,18.8778,0.092816667,100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Locating suspect incidents
3A1-006,{eb26886e-812d-49b5-9711-40047dec0533},-121.795,36.5784,174.524,0.725266667,1100,2-3-A-1,SFGPEVAL-------,0,100,
Cougars 1 C,{08847249-3de5-481c-a22a-6e8831b31297},-121.8,36.5774,141.4,0.3956,600,2nd Stryker Brigade,SFGPEVAL-------,0,100,Conducting vehicle searches
3C2-007,{40692e45-c354-4cab-9f44-9cdf429ff707},-121.806,36.5764,112.575,0.065933333,100,2-3-C-2,SFGPEVAL-------,0,100,
3A1-003,{b54c731f-57f3-4a92-a3b9-e87c4cec6e44},-121.755,36.5893,234.668,0.06565,100,2-3-A-1,SFGPEVAL-------,0,100,
Saber 1 C,{b676abb1-3810-4c53-8b62-5845dd150f24},-121.921,36.5887,224.695,0.1,100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Survellance Troop
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.76,36.5838,265.969,0.63195,900,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
Wolfpack 3 D,{2606c7b3-76c5-438b-a6ef-fc40f151cb64},-121.751,36.5878,253.833,0.32825,500,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security
3A1-001,{7f5eab90-dfd2-42c9-a0d4-12152173d40d},-121.857,36.5741,98.4004,0.882333333,1000,2-3-A-1,SFGPEVAL-------,1,100,
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.755,36.5787,231.66,1.193683333,1700,2-3-A-1,SFGPEVAL-------,0,100,
Wolfpack 1 B,{228b9127-33b5-4d38-a21b-e71d357ae956},-121.757,36.5874,241.872,0.140433333,200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
Cougars 1 D,{29d13bec-8a92-43b3-8394-8f12ecf6b091},-121.747,36.588,244.361,0.59085,900,2nd Stryker Brigade,SFGPEVAL-------,0,100,Defend the roadblock
War Eagles 1 D,{8c7d39cb-5dc7-471d-b485-e9797b5c395b},-121.918,36.5824,206.917,0.9,900,2nd Stryker Brigade,SFGPEVAL-------,0,100,Main patrol within Jalabad
Saber 1 B,{a8244a1f-0397-4453-9fa9-65d39796e469},-121.855,36.5769,112.109,0.5294,600,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.759,36.5831,257.699,0.702166667,1000,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.938,36.6112,30.1037,1.1138,1200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Cougars 1 B,{9305c72f-a88a-4094-be6a-7f8ee4b2e982},-121.942,36.6088,24.3491,0.649716667,700,2nd Stryker Brigade,SFGPEVAL-------,0,100,Establish checkpoint along road
War Eagles 1 B,{2111c671-19ce-4ad4-a80d-d362d6baa66d},-121.945,36.6054,19.3283,0.185633333,200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Locating suspect incidents
3A1-006,{eb26886e-812d-49b5-9711-40047dec0533},-121.794,36.5786,182.981,0.7912,1200,2-3-A-1,SFGPEVAL-------,0,100,
Cougars 1 C,{08847249-3de5-481c-a22a-6e8831b31297},-121.799,36.5776,147.054,0.461533333,700,2nd Stryker Brigade,SFGPEVAL-------,0,100,Conducting vehicle searches
3C2-007,{40692e45-c354-4cab-9f44-9cdf429ff707},-121.805,36.5766,114.003,0.131866667,200,2-3-C-2,SFGPEVAL-------,0,100,
Wolfpack 2 D,{ede21686-b514-482e-9fb9-e25332cb5b79},-121.919,36.5857,212.412,0.5,500,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area secuirty
Wolfpack 1 C,{62455fff-24fb-4b47-8032-4694cd552336},-121.852,36.5773,107.993,0.2647,300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Lead security opeartion
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.756,36.578,229.747,1.2639,1800,2-3-A-1,SFGPEVAL-------,0,100,
Wolfpack 1 B,{228b9127-33b5-4d38-a21b-e71d357ae956},-121.757,36.5866,247.622,0.21065,300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
Wolfpack 2 A,{ec413363-2a26-4e9e-bd8f-07de18b24d32},-121.953,36.5865,44.9995,0.23075,300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
3A1-003,{b54c731f-57f3-4a92-a3b9-e87c4cec6e44},-121.754,36.5892,233.231,0.1313,200,2-3-A-1,SFGPEVAL-------,0,100,
Saber 1 C,{b676abb1-3810-4c53-8b62-5845dd150f24},-121.92,36.588,221.491,0.2,200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Survellance Troop
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.758,36.5824,240.671,0.772383333,1100,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
3A1-001,{7f5eab90-dfd2-42c9-a0d4-12152173d40d},-121.858,36.5741,108.513,0.970566667,1100,2-3-A-1,SFGPEVAL-------,1,100,
Wolfpack 3 D,{2606c7b3-76c5-438b-a6ef-fc40f151cb64},-121.75,36.5872,252.575,0.3939,600,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security
Wolfpack 3 A,{0a4114b8-bcd5-462e-abd2-c71274d83d6b},-121.906,36.6202,9.92572,0.3461,600,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.757,36.5772,232.839,1.676433333,1900,2-3-A-1,SFGPEVAL-------,0,100,
Wolfpack 1 B,{228b9127-33b5-4d38-a21b-e71d357ae956},-121.758,36.5859,244.268,0.280866667,400,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
Saber 1 B,{a8244a1f-0397-4453-9fa9-65d39796e469},-121.856,36.5764,113.624,0.617633333,700,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.937,36.6119,31.2324,1.206616667,1300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Cougars 1 B,{9305c72f-a88a-4094-be6a-7f8ee4b2e982},-121.941,36.6096,25.0047,0.742533333,800,2nd Stryker Brigade,SFGPEVAL-------,0,100,Establish checkpoint along road
War Eagles 1 B,{2111c671-19ce-4ad4-a80d-d362d6baa66d},-121.945,36.6061,21.0778,0.27845,300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Locating suspect incidents
3A1-006,{eb26886e-812d-49b5-9711-40047dec0533},-121.793,36.5788,193.987,0.857133333,1300,2-3-A-1,SFGPEVAL-------,0,100,
Cougars 1 C,{08847249-3de5-481c-a22a-6e8831b31297},-121.798,36.5778,155.433,0.527466667,800,2nd Stryker Brigade,SFGPEVAL-------,0,100,Conducting vehicle searches
3C2-007,{40692e45-c354-4cab-9f44-9cdf429ff707},-121.804,36.5768,116.551,0.1978,300,2-3-C-2,SFGPEVAL-------,0,100,
Cougars 1 D,{29d13bec-8a92-43b3-8394-8f12ecf6b091},-121.746,36.5882,246.096,0.6565,1000,2nd Stryker Brigade,SFGPEVAL-------,0,100,Defend the roadblock
Wolfpack 3 B,{2522bec0-02e9-4d78-97b9-26027df6a849},-121.904,36.619,7.81386,0.230733333,400,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV - patrolling area south of dam
War Eagles 1 D,{8c7d39cb-5dc7-471d-b485-e9797b5c395b},-121.918,36.5815,207.177,1,1000,2nd Stryker Brigade,SFGPEVAL-------,0,100,Main patrol within Jalabad
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.758,36.5817,237.843,0.8426,1200,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
